N,S_A,sigma_num,sigma_trunc,sigma_total
16,0.8244804119962129,0.005,0.005,0.007071067811865475
18,0.8374744690330105,0.005,0.005,0.007071067811865475
20,0.8629112762858474,0.005,0.004,0.006403124237432849
24,0.9021108762853409,0.005,0.004,0.006403124237432849
28,0.9099678911871504,0.006,0.004,0.007211102550927979
32,0.9322757738596232,0.006,0.004,0.007211102550927979
36,0.9703945445727199,0.007,0.003,0.007615773105863909
40,0.9797887058616087,0.007,0.003,0.007615773105863909
44,0.9831925799207779,0.007,0.003,0.007615773105863909
48,1.0080545773496148,0.008,0.003,0.008544003745317531
52,1.0112575642961381,0.008,0.003,0.008544003745317531
56,1.0236628242802015,0.009,0.003,0.009486832980505138
64,1.0532523890043266,0.009,0.003,0.009486832980505138
72,1.051128678895416,0.01,0.003,0.01044030650891055
80,1.0707269565015933,0.011,0.003,0.011401754250991379
88,1.0985359421376963,0.012,0.003,0.012369316876852983
96,1.1085692409093422,0.013,0.002,0.013152946437965905
104,1.135488158211647,0.013,0.002,0.013152946437965905
112,1.1355189380181483,0.014,0.002,0.01414213562373095
128,1.1528226441509026,0.016,0.002,0.0161245154965971
144,1.2018347635593252,0.017,0.002,0.01711724276862369
160,1.2023525082293842,0.019,0.002,0.0191049731745428
176,1.2213407208550235,0.021,0.002,0.021095023109728987
192,1.220800148256595,0.022,0.002,0.02209072203437452
208,1.2431870773046598,0.024,0.002,0.024083189157584593
224,1.2622914935044807,0.025,0.002,0.025079872407968908
240,1.261064554404686,0.027,0.002,0.027073972741361765
256,1.2874119995887434,0.029,0.002,0.029068883707497266
280,1.2925496183430234,0.031,0.002,0.031064449134018134
300,1.3072775322758767,0.033,0.002,0.03306055050963308
